,cs1,cs2
154,28.136053,2565.9875
155,81.92772,3607.4192
156,89.99139,3616.9363
157,97.18637,5177.03
158,33.726707,2545.0044
159,71.80313,4172.1323
160,79.443115,3257.05
161,73.229355,3462.4585
162,60.80636,3364.94
163,90.85891,4992.179
164,29.741274,1660.1115
165,6.957723,2251.6855
166,75.84057,3615.0022
167,24.806921,1832.9548
168,70.9387,3606.2446
169,55.41488,3740.6926
170,80.3425,3837.668
171,46.031258,2325.3132
172,38.255974,1982.8695
173,70.10111,3539.769
174,81.049866,3775.6765
175,66.32026,3471.6575
176,5.85793,1089.3689
177,38.824104,1782.009
178,18.514782,2192.1099
179,84.7768,3870.202
180,51.14626,2430.8699
181,98.397415,3437.327
182,41.008217,2313.7932
183,88.00789,4933.646
184,96.32943,4879.3555
185,49.34324,3511.773
186,83.33248,4708.1855
187,79.775375,2954.1262
188,14.656516,1380.601
189,42.508175,1789.1112
190,49.981083,3025.4268
191,65.360664,2947.8838
192,59.825886,2942.1191
193,76.394,3471.1475
194,23.831264,1848.4462
195,70.94666,3470.68
196,51.993725,2184.1907
197,29.362907,2193.2783
198,40.728775,2557.6072
199,97.49345,3505.549
200,28.562183,3173.7617
201,35.349686,2492.0002
202,95.789474,4495.1436
203,40.128754,2019.2814
204,53.59152,3761.7773
205,89.82432,3968.822
206,95.173775,2673.649
207,76.73211,3539.3274
208,26.22765,1807.9185
209,39.460686,3788.8806
210,79.59822,3963.4004
211,83.06898,4068.0771
212,84.45736,3572.062
213,39.57639,1994.6489
214,37.974083,2435.3176
215,93.80249,3882.8608
216,19.372452,1797.0414
217,35.973114,2388.4355
218,69.22844,4113.1616
219,80.83672,3395.0042
220,90.371376,3446.168
221,27.915482,1927.0643
222,70.30791,3431.5015
223,83.66939,4259.5483
224,90.946396,4419.1177
225,49.87027,3067.75
226,76.20196,5233.181
227,43.942883,2506.8623
228,87.74628,4185.1226
229,62.55397,3022.4312
230,28.770424,2710.6143
231,83.83862,3076.6077
232,42.709126,2479.9692
233,93.62736,3155.017
234,62.70929,4073.123
235,84.35988,3241.872
236,55.778126,3327.5198
237,61.31046,3616.6733
238,74.615486,4191.3174
239,15.96482,1783.8646
240,91.84161,4154.1494
241,31.990849,3185.1233
242,2.014958,1390.3081
243,75.90228,3140.455
244,41.703075,2426.3557
245,27.14616,2505.388
246,40.729923,3533.5354
247,35.03069,2320.9075
248,57.56379,3081.4111
249,17.16257,1118.7383
250,98.33945,5001.276
251,67.89276,3701.2202
252,31.271475,2157.5925
253,18.810759,1467.9062
254,92.723045,3457.235
255,56.440784,3232.9583
256,69.692215,3627.8503
257,26.5863,1925.1057
258,6.506896,1380.6589
259,67.30545,3193.641
260,61.205338,2351.3293
261,24.162384,2240.687
262,42.306705,2785.7258
263,87.72314,3134.3354
264,13.444891,2210.7957
265,11.2589655,1762.8419
266,36.93984,2271.6384
267,44.737785,2747.927
268,22.711266,2442.3647
269,50.727474,2627.976
270,29.364273,2070.5112
271,66.70999,3919.3062
272,78.05314,3757.6208
273,75.04798,2685.8235
274,38.97044,2245.7764
275,74.34616,2735.6355
276,14.20409,1720.0164
277,33.74549,2647.6072
278,99.991844,3948.5625
279,87.61458,5100.3545
280,13.61514,1837.538
281,59.140587,3370.1416
282,14.603788,1330.6091
283,60.512417,2364.1345
284,10.905693,1743.6378
285,17.354807,2275.1565
286,50.35192,3413.7844
287,23.14895,2160.3264
288,76.87258,3337.232
289,7.4956656,1036.4762
290,82.377075,3989.0947
291,80.96459,3615.8425
292,78.49345,3518.1775
293,47.71765,2719.7178
294,38.32467,2667.0164
295,43.615456,2724.7773
296,59.15761,3351.2483
297,37.21436,2693.9636
298,65.56355,3460.3235
299,67.2023,2830.8098
300,49.85037,2342.4417
301,73.8444,4573.9517
302,35.260536,1885.059
303,86.38488,2770.049
304,85.6363,2833.292
305,7.6163254,1482.5884
306,17.53346,1947.9005
307,68.72045,3943.5627
308,66.30124,3760.4355
309,40.39661,2611.1707
310,45.78959,2242.028
311,84.79144,4119.118
312,68.13263,3927.4653
313,70.40171,3663.8696
314,7.2402363,1016.1689
315,15.515152,1526.9124
316,67.58086,3022.9268
317,82.96466,3747.7104
318,55.77885,3470.9443
319,45.70356,3458.1272
320,13.699101,2001.2257
321,83.32981,3993.9058
322,69.72061,3091.9158
323,9.575929,1550.7037
324,70.434654,3104.589
325,43.680023,3497.0334
326,74.42406,3451.9856
327,54.74742,3033.378
328,20.036951,2335.0518
329,63.63017,4062.421
330,12.676807,1639.9469
331,33.704247,2259.9214
332,17.242168,2198.214
333,51.35446,2955.8906
334,83.04086,3257.433
335,31.093464,2484.6191
336,91.08965,3555.7444
337,40.380062,2484.0112
338,46.885807,3219.4058
339,64.96304,3755.5654
340,65.410194,3898.5278
341,80.560684,3507.4597
342,69.91069,4541.012
343,22.718054,2669.3923
344,86.64604,4637.426
345,29.284098,2594.2751
346,83.76697,3040.6455
347,87.45677,3100.1177
348,84.54347,3856.1736
349,44.949734,2877.4175
350,17.261044,2299.0654
351,28.141182,2594.887
352,33.291134,2328.4814
353,55.535343,2889.9587
354,25.77321,1656.6006
355,94.0732,3229.3025
356,34.890804,2925.88
357,91.385925,3482.335
358,41.56522,3541.9639
359,31.936642,2030.5197
360,94.77071,3502.684
361,60.754173,3712.3928
362,61.285862,4060.4768
363,28.994974,2040.1482
364,25.470638,1625.009
365,99.64325,5036.7197
366,48.26352,2429.9036
367,83.02121,3745.637
