x,y,z,s1,cs1,cs2_bottom,s2,cs2
-33.33137,6.0826864,-59.125813,6.6806827,7.4330106,404.08264,1475.7137,1455.2874
46.5087,-21.605995,-88.26563,14.326721,14.820068,426.56107,1299.6636,1450.4633
18.853628,17.929161,-104.78268,24.035324,21.389355,317.2087,1459.6619,1473.8973
-36.68085,-16.585371,-10.726154,13.538173,16.268171,451.89526,1777.6432,1810.3041
42.32092,-4.692912,-42.773804,19.02676,22.305265,406.38556,1861.8807,1738.0564
-11.1020565,-33.180862,-16.522448,12.254358,14.534026,457.47772,1820.3773,1731.068
-19.137072,30.06625,-13.048019,11.456868,13.866966,415.45413,1920.2395,1757.297
-22.896278,-43.342903,-94.14704,23.737223,23.32188,404.93112,1358.5557,1604.4175
45.45897,-12.261104,-96.39776,9.081594,8.924243,438.11768,1653.8667,1707.7186
45.25382,12.409985,-110.17694,23.315685,21.000162,404.3911,1397.3132,1574.3031
-8.662735,25.820877,-23.289322,17.323793,20.412342,436.01428,1648.6193,1737.3423
9.457871,-62.9668,-69.381966,15.160638,17.602774,376.90323,1307.5494,1643.3743
-34.39951,-13.954273,-73.83541,6.6217275,7.030235,414.097,1562.6968,1710.1805
-42.70831,-29.557648,-76.468994,12.540627,13.590515,379.496,1415.9712,1632.488
-58.901337,4.0568275,-124.11312,18.35079,16.221687,376.36688,1366.0603,1586.3206
-38.32828,28.104519,-71.88851,7.1775064,7.89204,486.13214,1849.5957,1908.3016
-25.373507,-23.92712,-132.29324,6.101299,4.498167,417.21075,1599.5762,1691.6709
9.5540905,39.67527,-125.97477,16.731821,13.309575,446.53186,1542.9471,1847.6943
-6.985305,-38.878777,-123.58885,22.150433,17.689142,379.09503,1620.4802,1566.9303
48.57665,-4.023505,-46.955563,15.402506,18.05165,315.15393,1308.916,1292.6981
23.80972,54.708115,-72.69716,15.240549,17.05432,374.9075,1327.1472,1555.2374
50.054855,-21.888258,-88.553986,5.1566358,5.337585,495.20236,1769.6992,1938.8838
-26.894377,10.367342,-26.42834,13.585006,15.942085,460.20105,1742.5133,1790.2306
35.846375,-46.369183,-138.96866,15.929588,12.714884,461.19037,1520.2228,1631.2256
41.70082,14.263165,-120.43053,16.39421,13.740405,475.5652,1753.9514,1961.3441
-21.247171,46.816895,-92.830925,10.480541,10.695757,425.42557,1466.1512,1686.8224
-44.238422,25.480087,-69.66776,10.598983,11.87601,437.24402,1710.929,1740.6652
-35.104584,15.9334,-102.38217,17.921618,16.758142,477.39655,1916.8448,1952.368
11.097755,37.499783,-15.209774,11.806269,14.126711,429.32718,1574.394,1731.9233
6.049118,-6.3942738,-20.783857,16.570404,19.135103,405.89572,1909.4292,1653.2208
23.476212,40.874878,-106.311615,11.59119,10.641059,435.65436,1509.8055,1827.5985
20.430775,9.608724,-24.336044,10.7803755,12.486055,446.43216,1868.1534,1696.2466
17.091549,6.6040883,-33.90761,19.087109,21.84788,450.51706,1881.5786,1691.8306
21.423735,-36.47826,-9.042637,10.099387,12.183128,448.2295,2004.151,1835.1205
40.078465,-24.412407,-114.96282,15.60065,13.705321,388.546,1456.4768,1642.7266
-46.335934,9.177593,-86.501785,17.381975,17.825058,357.23505,1440.2559,1444.4867
25.67447,9.810472,-88.54616,10.499343,10.261331,335.71652,1395.1715,1274.3379
-26.831778,-1.1783172,-74.97198,19.3771,20.172314,476.64114,1844.8285,1949.1661
3.126328,27.346289,-137.88191,16.404024,11.540936,429.83624,1590.3313,1692.4132
-61.04176,-2.342325,-96.512375,7.9871454,8.202052,531.17615,1873.506,2120.5012
-51.08099,39.47561,-104.73212,14.358073,14.514466,434.93484,1472.1515,1783.0837
11.606413,-51.183697,-74.38324,9.959398,10.930153,518.8789,1804.2472,2031.1777
13.931862,44.25598,-72.633644,14.448942,15.628188,380.6275,1207.2473,1437.0602
15.019494,7.334618,-10.403842,10.285303,12.026964,579.3508,2559.934,2208.4324
61.066723,5.4619913,-86.29335,14.24642,14.972122,413.16074,1382.3055,1656.4058
-32.454357,-20.461348,-121.68211,13.701189,11.121702,400.12674,1474.1937,1502.0466
-22.831568,-42.454903,-119.76916,26.547476,22.34355,462.94586,1341.4641,1667.4093
50.09697,-23.980371,-26.041904,12.483584,15.366111,499.648,1705.2623,1772.5421
-20.654217,-49.151627,-111.51115,20.229244,18.345503,410.2456,1531.9246,1728.1252
-46.3871,24.832518,-136.13184,9.9649725,7.9473085,390.34805,1487.343,1600.2178
-2.948439,-3.5612414,-52.472134,10.388355,11.393582,352.67352,1533.9994,1419.205
22.062204,8.391498,-96.771576,15.845639,14.736701,376.3411,1747.331,1609.2148
-9.792396,40.523438,-18.61299,14.409482,17.518461,514.11487,1896.144,1998.5964
-16.889626,39.246727,-62.15602,13.07575,14.740528,416.26428,1537.9231,1684.8761
30.992588,-46.610996,-65.83842,24.903708,28.314592,515.8125,2125.9229,2193.8816
-40.202885,4.749625,-83.77182,13.340237,13.707722,403.42014,1637.7424,1630.155
-25.1502,-8.735717,-124.736145,27.674751,21.571562,488.85175,2141.7097,1999.4562
3.0822499,1.7951065,-39.912075,12.882762,14.523301,517.72644,2141.9695,1968.7637
-47.84975,-35.09817,-30.825764,10.775291,13.56265,521.9402,1636.1718,2051.293
-15.19894,-3.7361512,-11.030985,11.583611,13.506612,452.43994,2174.9458,1907.0347
