,x,y,z,s1,cs1,cs2_bottom,s2,cs2
2409361,-19.330793,-42.354782,-105.38167,1126.6938,1023.7259,4707.8755,16841.576,19787.527
2409448,10.849649,55.646164,-49.73393,1395.4518,1668.4622,9471.056,34783.414,37431.402
2409489,36.798603,-22.782372,-88.59611,1512.4702,1513.0452,9384.127,33486.023,37611.547
2409849,36.647453,18.330254,-83.34049,1445.0494,1469.3655,10786.064,35244.285,42785.99
2410216,4.9634295,58.51972,-127.38357,753.8037,641.2511,2812.1885,7954.67,11281.771
2410424,-6.064774,-57.16194,-58.10346,1322.4037,1543.118,7197.364,22531.637,28538.816
2410472,-31.644667,33.81309,-131.80023,2067.352,1626.6632,12167.746,40329.62,49425.426
2411075,-41.93166,-13.565468,-14.15286,548.79724,661.06836,3402.5703,13892.657,13758.487
2411856,18.1967,-12.902669,-46.825287,1090.246,1218.6212,9248.347,39604.727,37242.37
2412350,-29.386047,2.3780777,-75.07444,1463.2172,1517.7178,11946.1045,46599.48,49463.3
2412454,-31.20231,51.083538,-81.68101,1605.6113,1760.8622,16615.164,54165.68,65514.883
2412503,48.924072,31.655853,-52.854862,53.952106,63.481613,918.5914,3008.8982,3682.7375
2412938,57.633945,5.9886494,-48.80108,534.7032,631.8619,2962.8247,10422.596,11760.864
2414106,5.554045,-34.384735,-108.803856,1678.9766,1483.9474,9881.373,36579.88,40674.457
2414285,-48.27853,-33.878605,-71.75,812.37573,916.5092,4108.5273,12714.2,16530.285
2414321,-14.69409,-17.129538,-105.693924,236.12938,205.36336,1746.7535,6472.2256,6975.838
2414491,40.370632,6.2956243,-84.87376,1416.3962,1430.8162,10911.21,40449.703,43304.273
2414647,-35.290436,5.2447963,-68.573044,957.0535,1029.1652,3803.5332,15003.585,15254.31
2414756,-24.344439,-36.539955,-52.257687,1414.1873,1607.2369,6062.916,21781.0,24704.164
2415259,-8.870109,20.90281,-87.495995,1704.8656,1656.9991,4765.2515,18382.701,18663.045
2415499,-39.261757,-42.218243,-43.13999,601.17017,720.15027,4094.6868,13652.276,15643.183
2415830,43.890987,-32.665478,-131.20541,1864.2133,1532.1787,7227.426,25483.248,29512.312
2415936,-27.725561,-46.143986,-83.10006,1452.271,1507.8927,9328.545,32291.875,38080.277
